학교,"학문적평판점수
학계에서 얼마나 인정받는 대학인가","취업평판점수 
기업이 선호나는 학교인가","교육밀도
교수 수대비 학생수. 학생 한명이 교수에게 얼마나 집중 지도를 받을 수 있는가","교수당 논문 인용 수
교수의 질.","국제 공동 연구
유학 해외연구 글로벌 진출 연결성","졸업생성과
취업률 졸업생에",순위
서울대학교,99.7,99.1,85.6,81.2,77.6,100,1
카이스트,87.7,91,60.2,96.2,46.8,63.3,2
연세대학교,91.6,97.8,84.3,67.9,78,94.4,3
고려대학교,89.2,95.4,77,68.2,67.7,93.6,4
포항공과대학교,61.3,83.3,99.9,98.3,29.6,16,5
성균관대학교,68.4,75.6,83.8,62.3,49.5,44.2,6
한양대학교,58.2,81.9,81.7,42.9,65.5,54.5,7
울산과학기술원,21.8,16.3,92.5,99.5,26.7,3.9,8
경희대학교,34.6,43,86.2,25.9,66.8,21.6,9
대구경북과학기술원,17,28.1,82.3,100,15.8,2.5,10
광주과학기술원,21.3,12.4,56.7,99.9,28.9,2.2,11
세종대학교,16.3,19.4,16.3,92.2,77.8,1.8,12
부산대학교,28.6,20.2,57.6,36.7,57.5,18.9,13
중앙대학교,24.9,37.6,79.2,16.7,31.3,17.3,14
이화여자대학교,33.5,26.6,75.1,13.6,32.9,28.4,15
경북대학교,18,20.3,78.5,29.6,55.8,15.5,16
서강대학교,27.3,51.9,61.3,8.9,16.2,23.4,17
아주대학교,19.8,22.1,70.2,34.3,18.1,5.3,18
동국대학교,12.8,18,76.3,29.9,36.2,6.7,19
인하대학교,17.5,19.9,74.7,23.8,28.1,17.1,20
건국대학교,11.6,12.8,61.3,34.1,52.5,14.7,21
한국외국어대학교,17.6,25.5,85.2,2.5,14.1,3.6,22
전북대학교,19.9,14.2,73.7,21.4,34,3.5,23
가톨릭대학교,7.9,6,97.4,31,14.3,1.9,24
울산대학교,6,3.8,60.2,50.1,29.1,6.4,25
충남대학교,11.7,10.6,54.7,21,40.8,6.7,26
서울시립대학교,17.6,15.6,49.2,16.5,38.4,6.9,27
전남대학교,12.2,6.8,47.3,24,29.2,6.5,28
영남대학교,5.1,4.7,18.9,47.5,46.7,4.9,28
충북대학교,6.5,4.6,47.9,19.6,33.4,1.8,29
단국대학교,10,8.3,72,4.8,17.1,3.6,29
한림대학교,3.4,2.7,95.6,13.1,9.1,1.8,29
강원대학교,8,7.1,32,15.4,28.6,3.5,29
국민대학교,5.3,6.2,51,5.3,9.9,5.2,29
서울과학기술대학교,10.5,7.9,20.5,18.9,28.6,1.9,29
순천향대학교,7.7,9.1,70.9,10.1,12.8,1.9,29
성신여자대학교,9.1,13.4,85,1.5,2.7,1.8,29
제주대학교,5.1,3.4,44.3,13.5,23.4,1.8,30
부경대학교,9.4,6,21.2,13.6,33.9,1.7,30
숙명여자대학교,6.9,9.7,46.8,4.9,6.1,1.9,30
홍익대학교,6.3,8.7,13.8,5.3,14.6,6.4,31
숭실대학교,3.4,6.9,12,9.2,22.3,3.5,31
동명대학교,6.3,3.6,38.8,2,1.9,1.9,31
영산대학교,6.5,11.9,25.6,2,2.5,1.9,31
